"COMPNAME","pmorigin"
"Bearrubble","Andesite"
"Bearrun","Basalt"
"Bearskin","Basalt"
"Bearspring","Granite"
"Beartracker","Andesite"
"Beartrap","Basalt"
"Bearvalley","Serpentinite"
"Bearwallow","Sandstone"
"Beasley","Calcareous shale"
"Beason","Sedimentary rock"
"Beatrice","Shale"
"Beatsonhollow","Basalt"
"Beaughton","Ultramafic rock"
"Beaumain","Basalt"
"Beaumont","Igneous, metamorphic and sedimentary rock"
"Beauregard","Sedimentary rock"
"Beausite","Sandstone"
"Beaverdam","Sandstone and siltstone"
"Beaverell","Igneous, metamorphic and sedimentary rock"
"Beaveridge","Sandstone and shale"
"Beaverpass","Granite"
"Beaverslide","Interbedded sedimentary rock"
"Beavet","Metamorphic and sedimentary rock"
"Beavmid","Granite"
"Beavoe","Metamorphic and sedimentary rock"
"Beavwan","Igneous, metamorphic and sedimentary rock"
"Beazy","Limestone"
"Bebeevar","Sandstone"
"Bechtel","Metasedimentary rock"
"Becket","Granite and gneiss"
"Beckham","Marble"
"Beckman","Claystone"
"Becks","Quartz-diorite"
"Beckstrand","Limestone and sandstone"
"Beckton","Sedimentary rock"
"Beckwourth","Granite"
"Beclabito","Sandstone"
"Bedell","Mixed"
"Beden","Basalt"
"Bedford","Limestone"
"Bedington","Shale and siltstone"
"Bedner","Basalt"
"Bedstead","Volcanic rock"
"Beebe","Igneous and sedimentary rock"
"Beecee","Volcanic breccia"
"Beech","Sedimentary rock"
"Beech Grove","Limestone"
"Beechcreek","Rhyolite"
"Beecher","Calcareous shale"
"Beefhollow","Andesite"
"Beeftrail","Granite"
"Beehive","Metasedimentary rock"
"Beehunt","Sandstone"
"Beek","Limestone and shale"
"Beekman","Metavolcanics"
"Beelem","Tuff"
"Beemont","Dolomite"
"Beeno","Sandstone and shale"
"Beenom","Sandstone"
"Beerbo","Metamorphic rock"
"Beersheba","Sandstone"
"Beeskove","Metasedimentary rock"
"Beetree","Sandstone and shale"
"Beewon","Ignimbrite"
"Beezee","Basalt"
"Befar","Shale"
"Begay","Sandstone"
"Behanco","Sandstone"
"Behanin","Mixed"
"Behemotosh","Rhyolite"
"Behring","Mudstone"
"Beigle","Andesite"
"Beisigl","Sandstone"
"Beje","Sandstone and shale"
"Bejucos","Igneous, metamorphic and sedimentary rock"
"Belain","Igneous rock"
"Belate","Andesite"
"Belcher","Mixed"
"Belden","Sedimentary rock"
"Belen","Mixed"
"Belews Lake","Granite and gneiss"
"Belfield","Sedimentary rock"
"Belgarra","Shale"
"Belgrade","Metamorphic rock"
"Belk","Mixed"
"Bellamy","Limestone and shale"
"Bellavista","Mixed"
"Bellcanyon","Limestone"
"Bellechester","Sandstone"
"Bellehelen","Volcanic rock"
"Bellenmine","Quartzite"
"Bellicum","Andesite"
"Bellota","Igneous, metamorphic and sedimentary rock"
"Bellpine","Sandstone and siltstone"
"Belltower","Sedimentary rock"
"Bellyspring","Sandstone"
"Belmill","Mixed"
"Belmont","Limestone and shale"
"Belpre","Calcareous shale"
"Belrose","Igneous, metamorphic and sedimentary rock"
"Belsac","Limestone"
"Belsh","Granodiorite"
"Belted","Mixed"
"Belvoir","Granite and gneiss"
"Belzar","Limestone and shale"
"Beman","Sandstone and shale"
"Bemis","Schist and phyllite"
"Ben Lomond","Sandstone"
"Benally","Sandstone and shale"
"Benavides","Calcareous sandstone"
"Benbow","Mixed"
"Benchley","Mudstone"
"Bendahl","Metasedimentary rock"
"Bendastik","Metamorphic rock"
"Bendavis","Chert"
"Bendemeere","Igneous and metamorphic rock"
"Bendena","Limestone"
"Bender","Sandstone"
"Bendire","Igneous and metamorphic rock"
"Bendoh","Welded tuff"
"Benedicto","Andesite"
"Benevola","Marble"
"Benevolence","Sedimentary rock"
"Benfield","Shale"
"Bengal","Acid shale"
"Benin","Limestone, sandstone, and shale"
"Benjamin","Limestone and shale"
"Benklin","Mixed"
"Benndale","Sedimentary rock"
"Bennettcreek","Igneous rock"
"Bennington","Sandstone and shale"
"Benridge","Andesite"
"Benson","Limestone and shale"
"Benstot","Limestone and sandstone"
"Bentaxle","Limestone and sandstone"
"Benteen","Limestone, sandstone, and shale"
"Bentfort","Sedimentary rock"
"Benthole","Limestone"
"Bentley","Mixed"
"Benz","Calcareous shale"
"Beoska","Volcanic rock"
"Bequinn","Conglomerate"
"Bercumb","Basalt"
"Berdugo","Igneous rock"
"Berea","Acid shale"
"Bereme","Sandstone"
"Bereniceton","Basalt"
"Berent","Granite"
"Bergquist","Quartzite"
"Bergstrom","Mixed"
"Berino","Sedimentary rock"
"Berit","Granite"
"Berks","Shale and siltstone"
"Berkshire","Mica schist"
"Berlake","Limestone and dolomite"
"Berland","Sandstone"
"Bermeja","Chert"
"Bermesa","Basalt"
"Bermudian","Sandstone and shale"
"Bernal","Sandstone"
"Bernaldo","Mixed"
"Bernard","Igneous, metamorphic and sedimentary rock"
"Bernardino","Igneous rock"
"Bernardston","Granite and gneiss"
"Berning","Rhyolite"
"Beron","Igneous rock"
"Berrend","Igneous rock"
"Berrendos","Volcanic rock"
"Berrycreek","Quartzite"
"Berryhill","Shale"
"Berryman","Limestone and sandstone"
"Berson","Basalt"
"Bertag","Volcanic sandstone"
"Berthahill","Quartzite"
"Bertharidge","Limestone"
"Berthoud","Igneous and sedimentary rock"
"Berto","Basalt"
"Bertolotti","Gneiss"
"Bertrand","Sandstone"
"Berwolf","Sandstone and shale"
"Beryl","Igneous rock"
"Berzatic","Limestone"
"Besherm","Mixed"
"Bess","Igneous and sedimentary rock"
"Bessemer","Igneous, metamorphic and sedimentary rock"
"Besslen","Basalt"
"Beta","Sandstone and shale"
"Betemer","Volcanic breccia"
"Bethany","Shale"
"Bethera","Sedimentary rock"
"Bethesda","Sandstone and shale"
"Bethlehem","Schist"
"Bethune","Calcareous sandstone"
"Betis","Sandstone and shale"
"Betonnie","Sandstone"
"Betra","Granite"
"Betteravia","Sandstone"
"Beveridge","Limestone and dolomite"
"Beverly","Basalt"
"Bew","Sandstone"
"Bewearze","Sedimentary rock"
"Bewleyville","Limestone"
"Bexar","Limestone"
"Bezzant","Sedimentary rock"
"Biaggi","Sandstone and shale"
"Bibb","Sedimentary rock"
"Biblesprings","Igneous and sedimentary rock"
"Bice","Granite and gneiss"
"Bickford","Mixed"
"Bickleton","Basalt"
"Bickmore","Limestone"
"Bicondoa","Tuff"
"Bidart","Mixed"
"Biddleman","Mixed"
"Bidman","Calcareous shale"
"Bidonia","Sandstone"
"Bidrim","Basalt"
"Biduya","Limestone and sandstone"
"Bidwell","Mixed"
"Bieber","Basalt"
"Biedell","Basalt"
"Biedsaw","Sandstone and shale"
"Bielenberg","Granite"
"Bienfait","Quartz-monzonite"
"Biffle","Cherty limestone"
"Big Blue","Shale"
"Big Horn","Igneous, metamorphic and sedimentary rock"
"Big Timber","Sandstone and shale"
"Biga","Mixed"
"Bigarm","Quartzite"
"Bigbear","Sandstone and shale"
"Bigbee","Sedimentary rock"
"Bigbernie","Gneiss"
"Bigbrown","Mixed"
"Bigbutte","Volcanic and sedimentary rock"
"Bigcanyon","Gneiss"
"Bigcinder","Volcanic rock"
"Bigcoulee","Igneous rock"
"Bigcow","Andesite"
"Bigdraw","Welded tuff"
"Bigdutch","Sandstone"
"Bigelk","Mixed"
"Bigelow","Granite"
"Bigetty","Igneous rock"
"Bigfork","Novaculite"
"Bigfrog","Igneous rock"
"Biggriz","Granite"
"Bighams","Mudstone"
"Bighat","Basalt"
"Bighawk","Limestone"
"Bigheart","Sandstone"
"Bighill","Granite"
"Bighole","Igneous and metamorphic rock"
"Biglick","Dolomite"
"Bigmeadow","Mixed"
"Bignell","Igneous rock"
"Bigpaw","Quartz-diorite"
"Bigpiney","Shale"
"Bigpool","Limestone, sandstone, and shale"
"Bigprairie","Volcanic rock"
"Bigridge","Metavolcanics"
"Bigriver","Sandstone and shale"
"Bigsag","Sandstone and shale"
"Bigsandy","Sandstone and shale"
"Bigsheep","Dolomite"
"Bigspring","Limestone"
"Bigtalk","Anorthosite"
"Bigtree","Sedimentary rock"
"Bigwash","Limestone"
"Bigwin","Igneous, metamorphic and sedimentary rock"
"Bigwinder","Sandstone"
"Biji","Mixed"
"Bijorja","Granite"
"Bijou","Arkose"
"Bikelake","Granite"
"Biken","Mixed"
"Bikeyah","Sandstone"
"Bilbo","Mixed"
"Bilburc","Cherty limestone"
"Bilgray","Sandstone"
"Billiesdraw","Metamorphic and sedimentary rock"
"Billings","Shale"
"Billman","Sandstone and shale"
"Billscabin","Quartz-diorite"
"Billstown","Chalk"
"Billycanyon","Metamorphic and sedimentary rock"
"Billycreek","Sandstone"
"Bilson","Sandstone"
"Bimmer","Granite"
"Binco","Mudstone"
"Bindle","Andesite"
"Binger","Sandstone"
"Bingham","Quartzite"
"Binna","Limestone"
"Binnsville","Chalk"
"Bins","Metasedimentary rock"
"Binsin","Cherty limestone"
"Binton","Sandstone and shale"
"Bioya","Mixed"
"Biplane","Igneous rock"
"Bippus","Igneous and sedimentary rock"
"Birchcreek","Andesite"
"Birchfield","Limestone"
"Birchwood","Metamorphic and sedimentary rock"
"Birdcanyon","Granite"
"Birdow","Limestone and sandstone"
"Birdsall","Mica schist"
"Birdsbeak","Schist"
"Birdsboro","Shale"
"Birdsley","Sandstone and shale"
"Birdspring","Limestone and dolomite"
"Birdwood","Metamorphic and sedimentary rock"
"Birmingham","Sandstone"
"Birney","Porcellanite"
"Birome","Sandstone"
"Biscailuz","Granite"
"Biscaro","Sandstone and siltstone"
"Bischoff","Sedimentary rock"
"Biscoe","Argillite"
"Bisgani","Granite"
"Bishop","Granite"
"Bismarck","Acid shale"
"Bison","Limestone"
"Bisoodi","Limestone and sandstone"
"Bispen","Sandstone"
"Bisping","Granodiorite"
"Bissell","Igneous rock"
"Bissett","Limestone"
"Bissonnet","Igneous, metamorphic and sedimentary rock"
"Bitner","Pyroclastic rock"
"Bitter Spring","Mixed"
"Bittercreek","Calcareous sandstone"
"Bitterridge","Limestone and sandstone"
"Bitterwater","Sandstone and shale"
"Bitton","Porcellanite"
"Bjork","Conglomerate"
"Blachly","Sandstone"
"Black Butte","Sedimentary rock"
"Black Ridge","Igneous rock"
"Blackarn","Rhyolite"
"Blackash","Volcanic rock"
"Blackbear","Basalt"
"Blackburn","Sedimentary rock"
"Blackcan","Volcanic rock"
"Blackdog","Igneous, metamorphic and sedimentary rock"
"Blackdraw","Shale"
"Blackeagle","Granitoid"
"Blackett","Igneous rock"
"Blackgap","Limestone"
"Blackgulch","Serpentinite"
"Blackhall","Sandstone"
"Blackhawk","Mixed"
"Blackhills","Tuff breccia"
"Blackjack","Sedimentary rock"
"Blackleaf","Sandstone and shale"
"Blackleed","Granite"
"Blackleg","Basalt"
"Blacklock","Mixed"
"Blackmesa","Basalt"
"Blacknoll","Basalt"
"Blackpipe","Shale"
"Blackprince","Granite"
"Blacksan","Basalt"
"Blacksheep","Calcareous sandstone"
"Blacksnag","Diorite"
"Blackspar","Sandstone"
"Blackspot","Quartzite"
"Blackston","Sandstone and shale"
"Blacktail","Igneous, metamorphic and sedimentary rock"
"Blackthorn","Sandstone and shale"
"Blacktop","Andesite"
"Blackwell","Mixed"
"Bladen","Sedimentary rock"
"Blag","Sandstone"
"Blago","Acid shale"
"Blaincreek","Basalt"
"Blaine","Igneous rock"
"Blairton","Shale and siltstone"
"Blakabin","Sandstone and shale"
"Blakeland","Arkose"
"Blakeney","Limestone"
"Blalock","Shale"
"Blanchard","Sandstone"
"Blanche","Calcareous sandstone"
"Blanconia","Igneous, metamorphic and sedimentary rock"
"Blancot","Sandstone and shale"
"Blancoverde","Sedimentary rock"
"Bland","Limestone"
"Blandburg","Sandstone"
"Blanding","Sandstone and siltstone"
"Blanfort","Calcareous sandstone"
"Blanton","Sedimentary rock"
"Blappert","Granite"
"Blasdell","Acid shale"
"Blasingame","Metamorphic rock"
"Blavo","Igneous, metamorphic and sedimentary rock"
"Blayden","Basalt"
"Blazon","Shale"
"Bledsoe","Limestone, sandstone, and shale"
"Bleiblerville","Mudstone"
"Blendon","Arkose"
"Bler","Tuff"
"Bleumont","Igneous and metamorphic rock"
"Blevins","Sandstone and shale"
"Blewett","Sandstone"
"Blickenstaff","Granite"
"Blimo","Mixed"
"Blind","Granite and gneiss"
"Blinn","Basalt"
"Blint","Basalt"
"Blizzard","Basalt"
"Blocher","Shale"
"Blocktown","Phyllite"
"Blodgett","Sandstone and siltstone"
"Bloodstone","Calcareous sandstone"
"Bloodyhorse","Gneiss"
"Bloomingdale","Limestone and shale"
"Bloomsdale","Igneous rock"
"Bloor","Mixed"
"Blossberg","Granite and gneiss"
"Blount","Limestone and shale"
"Blowout","Igneous rock"
"Blucher","Sedimentary rock"
"Bludiamond","Limestone and sandstone"
"Blue Star","Igneous rock"
"Bluebell","Basalt"
"Bluebird","Granite"
"Bluebuck","Granite"
"Bluecanyon","Metasedimentary rock"
"Bluechief","Sandstone"
"Bluecut","Granite and gneiss"
"Bluedome","Limestone"
"Blueflat","Shale"
"Bluegrass","Phosphatic limestone"
"Bluegrove","Sandstone"
"Bluegulch","Welded tuff"
"Bluegyp","Rock gypsum"
"Bluehill","Volcanic rock"
"Bluehon","Metamorphic and sedimentary rock"
"Bluejay","Monzonite"
"Bluelick","Limestone"
"Bluemass","Quartz-monzonite"
"Bluemod","Sandstone and shale"
"Bluenose","Sandstone and shale"
"Bluepoint","Mixed"
"Bluerim","Sandstone and shale"
"Bluesky","Sandstone"
"Blueslide","Granite"
"Bluesprin","Andesite"
"Bluesters","Volcanic rock"
"Bluestocking","Limestone"
"Bluestone","Shale"
"Bluewater","Sandstone and shale"
"Bluewing","Mixed"
"Blueye","Dolomite"
"Bluhol","Rock gypsum"
"Blula","Sandstone"
"Blum","Sandstone and shale"
"Bly","Andesite"
"Blythe","Shale"
"Bo","Basalt"
"Boades","Sandstone and shale"
"Boar","Sandstone and shale"
"Boardburn","Igneous rock"
"Boardcamp","Mudstone"
"Boardflower","Sedimentary rock"
"Boatman","Igneous and sedimentary rock"
"Bobbitt","Basalt"
"Bobert","Mixed"
"Bobillo","Sandstone"
"Bobknoll","Conglomerate"
"Bobnbob","Mixed"
"Bobowic","Granite"
"Bobs","Limestone and dolomite"
"Bobsgarden","Metasedimentary rock"
"Bobzbulz","Noncalcareous conglomerate"
"Boca","Limestone"
"Bocker","Igneous rock"
"Bockston","Mixed"
"Bocox","Sedimentary rock"
"Bodacious","Igneous rock"
"Bodale","Mixed"
"Bodecker","Igneous and sedimentary rock"
"Bodell","Basalt"
"Boden","Sandstone"
"Bodiecreek","Volcanic and metamorphic rock"
"Bodiehill","Andesite"
"Bodiford","Limestone"
"Bodine","Cherty limestone"
"Bodorumpe","Sandstone"
"Bodot","Shale"
"Bodry","Shale"
"Boerne","Limestone"
"Boettcher","Shale"
"Bofecillos","Basalt"
"Boga","Igneous and metamorphic rock"
"Bogan","Sandstone"
"Bogart","Sandstone and shale"
"Boggs","Igneous and sedimentary rock"
"Bograp","Basalt"
"Bogue","Acid shale"
"Bogus","Tuff"
"Bohannon","Sandstone"
"Bohica","Granite"
"Bohicket","Sedimentary rock"
"Bohna","Granite"
"Boiler","Tuff"
"Boilout","Basalt"
"Boistfort","Basalt"
"Bolar","Limestone"
"Bolero","Gneiss"
"Bolfar","Granite"
"Bolicker","Basalt"
"Bolivar","Sandstone"
"Bollibokka","Volcanic sandstone"
"Bolobin","Basalt"
"Bolony","Basalt"
"Bolsa","Igneous, metamorphic and sedimentary rock"
"Bolton","Dolomite"
"Boltus","Calcareous shale"
"Boltz","Pyroclastic rock"
"Boludo","Ignimbrite"
"Bomar","Shale"
"Bombadil","Volcanic rock"
"Bombay","Limestone"
"Bona","Limestone"
"Bonair","Sandstone and shale"
"Bonaparte","Marble"
"Bond","Sandstone"
"Bondad","Mixed"
"Bondfarm","Basalt"
"Bondman","Sandstone"
"Bondoe","Calcareous shale"
"Bondranch","Basalt"
"Bonduel","Dolomite"
"Bone","Shale"
"Boneek","Sandstone and siltstone"
"Bonepile","Volcanic rock"
"Bonespring","Limestone and sandstone"
"Bonfri","Sandstone and shale"
"Bonham","Calcareous shale"
"Bonhigh","Sandstone and shale"
"Bonidu","Sedimentary rock"
"Bonifay","Sedimentary rock"
"Bonita","Volcanic rock"
"Bonjea","Granite"
"Bonn","Sedimentary rock"
"Bonneau","Sedimentary rock"
"Bonnefemme","Limestone"
"Bonner","Schist"
"Bonnerdale","Sandstone"
"Bonnet","Igneous, metamorphic and sedimentary rock"
"Bonneyridge","Quartz-diorite"
"Bonnick","Volcanic rock"
"Bonnie","Interbedded sedimentary rock"
"Bonnieview","Volcanic rock"
"Bonnydoon","Sandstone and shale"
"Bonolden","Limestone and sandstone"
"Bonsall","Granite"
"Bonta","Granite"
"Bonti","Sandstone"
"Bonwier","Sandstone and shale"
"Booford","Volcanic rock"
"Boofuss","Mixed"
"Bookcliff","Sandstone and shale"
"Bookwood","Calcareous shale"
"Boomer","Metavolcanics"
"Boomtown","Basalt"
"Boondock","Tuff"
"Boone","Sandstone"
"Boonesboro","Limestone"
"Booneville","Basalt"
"Boonewood","Limestone"
"Boontling","Igneous, metamorphic and sedimentary rock"
"Boonton","Basalt"
"Boonville","Shale"
"Booten","Pumice"
"Booth","Tuff"
"Boqueron","Igneous, metamorphic and sedimentary rock"
"Boquet","Sedimentary rock"
"Boquillas","Acidic tuff"
"Boracho","Igneous rock"
"Boravall","Basalt"
"Borda","Mixed"
"Bordeaux","Sandstone and siltstone"
"Borden","Granite"
"Bordengulch","Argillite"
"Borderland","Basalt"
"Borealis","Basalt"
"Borgeau","Volcanic rock"
"Boriana","Gneiss"
"Borid","Granodiorite"
"Borky","Sandstone and shale"
"Borland","Sandstone"
"Borobey","Volcanic rock"
"Borpark","Basalt"
"Borrego","Basalt"
"Borreguero","Sandstone"
"Boruff","Sandstone and shale"
"Borunda","Tuff"
"Borvant","Limestone and sandstone"
"Bosa","Andesite"
"Bosanko","Granite"
"Boscawen","Gneiss"
"Boskydell","Shale"
"Bosland","Metasedimentary rock"
"Bosler","Igneous and metamorphic rock"
"Bosonoak","Shale and siltstone"
"Bosque","Mixed"
"Bosquecito","Sandstone and siltstone"
"Bosquejo","Volcanic rock"
"Boss","Volcanic rock"
"Bossburg","Volcanic rock"
"Bossier","Sedimentary rock"
"Bostrum","Basalt"
"Bostwick","Sandstone and shale"
"Bosun","Quartz-diorite"
"Boswell","Sedimentary rock"
"Botella","Sedimentary rock"
"Botero","Igneous, metamorphic and sedimentary rock"
"Botetourt","Limestone, sandstone, and shale"
"Botleg","Granite"
"Bott","Volcanic rock"
"Bottlehill","Metamorphic rock"
"Bottlerock","Obsidian"
"Boulder Lake","Basalt"
"Bouldercreek","Metasedimentary rock"
"Boulderfan","Andesite"
"Boulderjud","Quartz-monzonite"
"Bouldin","Limestone, sandstone, and shale"
"Bouldrock","Diorite"
"Boulflat","Mixed"
"Boundridge","Sandstone"
"Bousic","Mixed"
"Bowbac","Calcareous sandstone"
"Bowdish","Sandstone and siltstone"
"Bowdoin","Sedimentary rock"
"Bowdre","Sedimentary rock"
"Bowen","Andesite"
"Bowery","Igneous and sedimentary rock"
"Bowie","Sedimentary rock"
"Bowington","Igneous and sedimentary rock"
"Bowlus","Basalt"
"Bowman","Igneous rock"
"Bowmansville","Sandstone and siltstone"
"Bowns","Basalt"
"Boxcanyon","Sandstone"
"Boxelder","Sedimentary rock"
"Boxford","Granite and gneiss"
"Boxrobber","Ultramafic rock"
"Boxspring","Limestone and dolomite"
"Boxwell","Mudstone"
"Boy","Igneous, metamorphic and sedimentary rock"
"Boyd","Shale"
"Boydhollow","Conglomerate"
"Boyett","Granite"
"Boykin","Sedimentary rock"
"Boyle","Granite"
"Boysag","Limestone"
"Boysen","Sedimentary rock"
"Brabble","Igneous rock"
"Brace","Basalt"
"Bracken","Rock gypsum"
"Brackett","Limestone"
"Bracos","Igneous rock"
"Brad","Quartz-monzonite"
"Braddock","Igneous and metamorphic rock"
"Brader","Sandstone"
"Bradfield","Shale"
"Bradley","Granite and gneiss"
"Bradshaw","Limestone, sandstone, and shale"
"Bradson","Igneous and metamorphic rock"
"Bradyville","Limestone"
"Braf","Calcareous sandstone"
"Braffits","Igneous and sedimentary rock"
"Bragton","Mixed"
"Braman","Sedimentary rock"
"Bramard","Basalt"
"Bramlet","Serpentinite"
"Bramwell","Mixed"
"Brand","Mixed"
"Brandenberry","Basalt"
"Brandenburg","Porcellanite"
"Brandon","Sedimentary rock"
"Brandypeak","Metasedimentary rock"
"Brandywine","Granite and gneiss"
"Branford","Basalt"
"Branham","Granite"
"Brannan","Schist"
"Branscomb","Sandstone"
"Brantel","Volcanic rock"
"Brantley","Sedimentary rock"
"Branyon","Mudstone"
"Brashear","Limestone"
"Brassfield","Siltstone"
"Brasstown","Sandstone"
"Braswell","Phyllite"
"Braun","Siltstone"
"Bravo","Metasedimentary rock"
"Braxton","Limestone and dolomite"
"Brays","Granite"
"Brayton","Mica schist"
"Braziel","Igneous rock"
"Brazito","Igneous and sedimentary rock"
"Brazon","Shale"
"Brazoria","Igneous, metamorphic and sedimentary rock"
"Breadsprings","Sandstone and shale"
"Breakneck","Metaconglomerate"
"Brecken","Mixed"
"Brecknock","Porcellanite"
"Brecksville","Shale"
"Breece","Igneous and metamorphic rock"
"Breeton","Granite"
"Breezebasin","Sedimentary rock"
"Breezy","Limestone, sandstone, and shale"
"Bregar","Volcanic rock"
"Breien","Sedimentary rock"
"Breko","Mixed"
"Bremo","Metamorphic rock"
"Bremond","Mixed"
"Brenda","Igneous and sedimentary rock"
"Brenham","Calcareous sandstone"
"Brenner","Igneous and sedimentary rock"
"Brent","Igneous rock"
"Brenton","Limestone and dolomite"
"Brentsville","Sandstone"
"Brentwood","Sedimentary rock"
"Brequito","Gneiss"
"Bressa","Sandstone and shale"
"Bresser","Arkose"
"Brevard","Igneous and metamorphic rock"
"Brevco","Granite"
"Brewback","Diorite"
"Brewer","Sedimentary rock"
"Brewless","Sedimentary rock"
"Brewster","Trachyte"
"Brewton","Sedimentary rock"
"Brezniak","Basalt"
"Briabbit","Tuff"
"Bributte","Shale"
"Briceland","Mudstone"
"Brickel","Granite"
"Brickhaven","Mudstone"
"Brickner","Basalt"
"Brico","Granite"
"Bricone","Limestone and dolomite"
"Bridge","Tuff"
"Bridgecreek","Tuff"
"Bridgefore","Quartzite"
"Bridgehampton","Granite and gneiss"
"Bridgeport","Mixed"
"Bridger","Limestone"
"Bridgerton","Shale"
"Bridgeson","Igneous rock"
"Bridgewater","Basalt"
"Bridgewell","Volcanic rock"
"Bridgimmer","Sandstone"
"Briedwell","Siltstone"
"Brief","Igneous, metamorphic and sedimentary rock"
"Brier","Andesite"
"Briery","Calcareous shale"
"Brigadier","Schist"
"Briggsdale","Sedimentary rock"
"Briggsranch","Limestone and dolomite"
"Brightwood","Tuff breccia"
"Briley","Sandstone and shale"
